"","x"
"280","B-HA_779_aligned_227_R_0_336_0"
"281","B-NA_338_aligned_234_R_0_271_0"
"282","B-PA_203_aligned_242_F_0_145_0"
"283","B-HA_1249_aligned_250_R_0_182_0"
"284","B-PB2_504_aligned_259_F_0_225_0"
"285","B-PA_1299_aligned_265_R_0_244_0"
"286","B-PA_562_aligned_274_R_0_160_0"
"287","B-MP_51_aligned_283_R_0_368_0"
"288","B-PB1_1686_aligned_290_F_0_292_0"
"289","B-PB2_366_aligned_297_F_0_174_0"
"290","B-PA_1012_aligned_304_R_0_235_0"
"291","B-PA_745_aligned_312_F_0_234_0"
"292","B-NS_625_aligned_318_R_0_159_0"
"293","B-MP_923_aligned_326_F_0_128_0"
"294","B-MP_123_aligned_333_F_0_300_0"
"295","B-NP_169_aligned_341_R_0_314_0"
"296","B-NS_636_aligned_349_F_0_162_0"
"297","B-NP_390_aligned_356_F_0_165_0"
"298","B-MP_304_aligned_364_R_0_352_0"
"299","B-PA_296_aligned_373_F_0_260_0"
"300","B-PB2_38_aligned_384_R_0_173_0"
"301","B-PA_189_aligned_392_F_0_394_0"
"302","B-PB2_47_aligned_400_F_0_202_0"
"303","B-PB2_2126_aligned_407_R_0_151_0"
"304","B-PA_1606_aligned_414_R_0_348_0"
"305","B-NP_755_aligned_425_R_0_111_0"
"306","B-NP_1426_aligned_433_F_0_165_0"
"307","B-NP_151_aligned_441_F_0_390_0"
"308","B-PB2_1036_aligned_448_R_0_188_0"
"309","B-NP_483_aligned_456_F_0_246_0"
"310","B-PB1_462_aligned_463_R_0_267_0"
"311","B-PA_751_aligned_472_R_0_322_0"
"312","B-PB2_1790_aligned_479_F_0_168_0"
"313","B-MP_363_aligned_487_F_0_252_0"
"314","B-NS_658_aligned_495_F_0_247_0"
"315","B-PB1_188_aligned_503_F_0_353_0"
"316","B-PB1_397_aligned_511_R_0_312_0"
"317","B-PB2_1682_aligned_519_R_0_269_0"
"318","B-NS_473_aligned_526_R_0_292_0"
"319","B-PB1_1531_aligned_534_F_0_373_0"
"320","B-PB2_353_aligned_542_R_0_386_0"
"321","B-NS_482_aligned_550_F_0_255_0"
"322","B-NP_658_aligned_558_F_0_380_0"
"323","B-NP_686_aligned_566_F_0_365_0"
"324","B-HA_1135_aligned_574_R_0_328_0"
"325","B-PA_1378_aligned_581_R_0_315_0"
"326","B-NS_109_aligned_589_F_0_173_0"
"327","B-PB1_1439_aligned_598_R_0_374_0"
"328","B-NS_389_aligned_608_F_0_343_0"
"329","B-PB2_1511_aligned_614_R_0_142_0"
"330","B-MP_828_aligned_621_F_0_248_0"
"331","B-PA_1519_aligned_629_R_0_101_0"
"332","B-PB2_2203_aligned_639_F_0_94_0"
"333","B-NA_435_aligned_652_R_0_405_0"
"334","B-NS_190_aligned_658_F_0_268_0"
"335","B-PB1_248_aligned_666_F_0_289_0"
"336","B-NP_28_aligned_677_R_0_249_0"
"337","B-HA_387_aligned_684_R_0_313_0"
"338","B-PA_1292_aligned_691_F_0_157_0"
"339","B-PB2_214_aligned_699_R_0_301_0"
"340","B-PA_1520_aligned_707_R_0_173_0"
"341","B-PB1_409_aligned_713_F_0_305_0"
"342","B-PB2_825_aligned_723_R_0_360_0"
"343","B-PB2_267_aligned_734_R_0_258_0"
"344","B-NP_101_aligned_742_R_0_389_0"
"345","B-PB1_715_aligned_749_R_0_215_0"
"346","B-NS_523_aligned_756_R_0_150_0"
"347","B-PA_211_aligned_766_R_0_319_0"
"348","B-NP_372_aligned_773_F_0_250_0"
"349","B-PB2_1692_aligned_781_R_0_166_0"
"350","B-HA_944_aligned_787_R_0_279_0"
"351","B-PB1_1134_aligned_795_F_0_214_0"
"352","B-PA_284_aligned_803_F_0_375_0"
"353","B-NS_604_aligned_811_R_0_213_0"
"354","B-PB2_1534_aligned_818_R_0_263_0"
"355","B-PB1_1552_aligned_826_F_0_335_0"
"356","B-NS_310_aligned_835_R_0_248_0"
"357","B-HA_1199_aligned_843_R_0_222_0"
"358","B-NA_551_aligned_850_F_0_281_0"
"359","B-PB1_768_aligned_857_R_0_286_0"
"360","B-PA_565_aligned_864_R_0_203_0"
"361","B-MP_675_aligned_872_R_0_124_0"
"362","B-PA_807_aligned_880_F_0_254_0"
"363","B-PA_844_aligned_888_R_0_228_0"
"364","B-NP_7_aligned_896_R_0_183_0"
"365","B-PA_1486_aligned_901_R_0_225_0"
"366","B-HA_628_aligned_909_F_0_202_0"
"367","B-PB2_1154_aligned_915_F_0_129_0"
"368","B-PA_1227_aligned_923_R_0_129_0"
"369","B-PA_1158_aligned_931_R_0_286_0"
"370","B-NP_1343_aligned_938_R_0_267_0"
"371","B-PA_905_aligned_946_R_0_177_0"
"372","B-PA_1352_aligned_954_F_0_225_0"
"373","B-NA_506_aligned_965_F_0_224_0"
"374","B-NP_1107_aligned_972_R_0_213_0"
"375","B-PA_1235_aligned_980_R_0_183_0"
"376","B-NA_228_aligned_987_R_0_339_0"
"377","B-PB2_760_aligned_995_F_0_278_0"
"378","B-MP_558_aligned_1006_F_0_152_0"
"379","B-PA_1179_aligned_1014_F_0_270_0"
"380","B-PB2_1192_aligned_1020_R_0_269_0"
"381","B-NS_9_aligned_1030_R_0_320_0"
"382","B-NP_1281_aligned_1038_F_0_291_0"
"383","B-PB1_1411_aligned_1047_R_0_135_0"
"384","B-PA_335_aligned_1054_F_0_161_0"
"385","B-PB2_311_aligned_1065_R_0_162_0"
"386","B-HA_1250_aligned_1072_F_0_146_0"
"387","B-PA_1173_aligned_1080_F_0_208_0"
"388","B-PB2_688_aligned_1087_F_0_349_0"
"389","B-HA_30_aligned_1094_R_0_282_0"
"390","B-PA_656_aligned_1103_R_0_351_0"
"391","B-NP_1202_aligned_1109_F_0_371_0"
"392","B-PA_1403_aligned_1117_R_0_320_0"
"393","B-MP_738_aligned_1125_R_0_120_0"
"394","B-PA_1178_aligned_1133_F_0_246_0"
"395","B-PA_1342_aligned_1141_F_0_224_0"
"396","B-PA_216_aligned_1149_F_0_363_0"
"397","B-MP_603_aligned_1157_F_0_157_0"
"398","B-PA_1341_aligned_1164_F_0_292_0"
"399","B-PA_44_aligned_1172_F_0_220_0"
"400","B-NP_1380_aligned_1179_F_0_221_0"
"401","B-NP_1364_aligned_1186_F_0_208_0"
"402","B-HA_331_aligned_1194_R_0_209_0"
"403","B-PA_789_aligned_1202_R_0_247_0"
"404","B-MP_39_aligned_1210_F_0_350_0"
"405","B-HA_23_aligned_1217_F_0_373_0"
"406","B-PB2_1101_aligned_1225_F_0_285_0"
"407","B-PB2_1000_aligned_1233_F_0_156_0"
"408","B-NA_996_aligned_1239_R_0_310_0"
"409","B-NA_55_aligned_1247_F_0_184_0"
"410","B-PB1_149_aligned_1255_F_0_243_0"
"411","B-HA_855_aligned_1263_F_0_197_0"
"412","B-PA_1869_aligned_1271_F_0_152_0"
"413","B-NP_845_aligned_1278_F_0_322_0"
"414","B-PB1_1396_aligned_1286_F_0_135_0"
"415","B-HA_141_aligned_1293_F_0_368_0"
"416","B-NS_232_aligned_1302_F_0_335_0"
"417","B-NP_351_aligned_1311_F_0_282_0"
"418","B-PB2_741_aligned_1319_R_0_375_0"
"419","B-PB1_1432_aligned_1327_F_0_196_0"
"420","B-PB2_1988_aligned_1335_F_0_161_0"
"421","B-PA_86_aligned_1343_R_0_230_0"
"422","B-PB1_1641_aligned_1351_F_0_164_0"
"423","B-NS_258_aligned_1359_R_0_147_0"
"424","B-HA_1027_aligned_1368_R_0_214_0"
